q,density,realpsi,imagpsi,phase
-8.0,9.048533984279939e-29,-4.996817462966104e-15,8.09426680339834e-15,-400.0
-7.998,9.342732365113101e-29,-5.873143465665715e-15,7.676816363756471e-15,-399.90000000000003
-7.996,9.64641895663786e-29,-6.7167786345922825e-15,7.165826842749079e-15,-399.8
-7.994,9.959897236299119e-29,-7.517866396919561e-15,6.563585696938747e-15,-399.7
-7.992,1.0283480306039137e-28,-8.2666739368931e-15,5.8734065993666496e-15,-399.6
-7.99,1.0617491194882566e-28,-8.953697818323793e-15,5.099628155755026e-15,-399.5
-7.988,1.0962263170948068e-28,-9.569770637280863e-15,4.247601871564434e-15,-399.40000000000003
-7.986,1.1318140063179878e-28,-1.0106167623388506e-14,3.3236691471584086e-15,-399.3
-7.984,1.168547659309852e-28,-1.055471207359735e-14,2.3351271859244723e-15,-399.2
-7.982,1.2064638716880587e-28,-1.0907878478372316e-14,1.2901838124344623e-15,-399.1
-7.98,1.245600397808486e-28,-1.11588921874394e-14,1.9790131367052244e-16,-399.0
-7.978,1.2859961871354525e-28,-1.1301824461108497e-14,-9.318704651585796e-16,-398.9
-7.976,1.3276914217432213e-28,-1.1331681764103307e-14,-2.088571418795804e-15,-398.8
-7.974,1.3707275549839525e-28,-1.1244488182060704e-14,-3.261018402568806e-15,-398.7
-7.972,1.4151473513576205e-28,-1.1037359876572185e-14,-4.437501784878121e-15,-398.6
-7.97,1.4609949276213762e-28,-1.070857054285071e-14,-5.605890624238729e-15,-398.5
-7.968,1.5083157951760379e-28,-1.0257606894726413e-14,-6.753745650442052e-15,-398.4
-7.966,1.5571569037696169e-28,-9.6852132744551e-15,-7.868439121279418e-15,-398.3
-7.964,1.6075666865578315e-28,-8.993424569409375e-15,-8.937280524305308e-15,-398.20000000000005
-7.962,1.659595106563778e-28,-8.185586713606485e-15,-9.947646998682996e-15,-398.09999999999997
-7.96,1.7132937045794454e-28,-7.26636415856086e-15,-1.0887117266435898e-14,-398.0
-7.958,1.7687156485539788e-28,-6.241733814352318e-15,-1.1743607786628807e-14,-397.90000000000003
-7.956,1.8259157845136425e-28,-5.118965087233573e-15,-1.2505509781174378e-14,-397.8
-7.954,1.88495068906122e-28,-3.906585773431302e-15,-1.3161825728254653e-14,-397.7
-7.952,1.9458787235029031e-28,-2.6143337089835982e-15,-1.3702303879580338e-14,-397.6
-7.95,2.0087600896531713e-28,-1.2530942212080336e-15,-1.4117569331796892e-14,-397.5
-7.948,2.073656887368554e-28,1.6517642262630963e-16,-1.4399250170972926e-14,-397.40000000000003
-7.946,2.140633173864017e-28,1.6275412211160796e-15,-1.4540097212878932e-14,-397.3
-7.944,2.2097550248659835e-28,3.120185796641723e-15,-1.453409588110088e-14,-397.2
-7.942,2.2810905976591873e-28,4.628534249295778e-15,-1.43765688002741e-14,-397.1
-7.94,2.3547101960846096e-28,6.137376698870853e-15,-1.4064267732968471e-14,-397.0
-7.938,2.4306863375489113e-28,7.631007558690895e-15,-1.3595453556027233e-14,-396.9
-7.936,2.5090938221066274e-28,9.09337344205798e-15,-1.2969963055226384e-14,-396.8
-7.934,2.5900098036791233e-28,1.050822946593094e-14,-1.2189261415658173e-14,-396.7
-7.932,2.6735138634753443e-28,1.1859302588865407e-14,-1.1256479398695878e-14,-396.6
-7.93,2.7596880856819225e-28,1.3130460502842263e-14,-1.0176434324039612e-14,-396.5
-7.928,2.848617135492158e-28,1.4305884492858752e-14,-8.95563411636492e-15,-396.4
-7.926,2.9403883395457735e-28,1.5370244585681425e-14,-7.602263829341112e-15,-396.3
-7.924,3.03509176885262e-28,1.6308875231209038e-14,-6.126154224153877e-15,-396.20000000000005
-7.922,3.1328203242767598e-28,1.7107949697857882e-14,-4.538732153723151e-15,-396.09999999999997
-7.92,3.2336698246591414e-28,1.7754651318373096e-14,-2.8529526860616895e-15,-396.0
-7.918,3.3377390976596736e-28,1.823733969552009e-14,-1.0832130889970572e-15,-395.90000000000003
-7.916,3.4451300734015186e-28,1.854570996905413e-14,7.547510078682483e-16,-395.8
-7.914,3.555947881003584e-28,1.8670943256960262e-14,2.643986761640185e-15,-395.7
-7.912,3.670300948089041e-28,1.86058464156287e-14,4.566461865267323e-15,-395.6
-7.91,3.788301103361557e-28,1.8344979315753906e-14,6.503217991173063e-15,-395.5
-7.908,3.9100636823417926e-28,1.7884767903404754e-14,8.434538830044142e-15,-395.40000000000003
-7.906,4.0357076363616753e-28,1.7223601408803404e-14,1.0340131437599471e-14,-395.3
-7.904,4.165355644915116e-28,1.6361912178576777e-14,1.2199319421674823e-14,-395.2
-7.902,4.299134231468231e-28,1.530223674002189e-14,1.3991246331158187e-14,-395.1
-7.9,4.437173882833961e-28,1.4049256857540603e-14,1.5695087449079233e-14,-395.0
-7.898,4.579609172220124e-28,1.2609819510846205e-14,1.72902680466757e-14,-394.9
-7.896,4.7265788860628e-28,1.0992934910584758e-14,1.875668602546641e-14,-394.8
-7.894,4.878226154760609e-28,9.209751868308546e-15,2.0074936762048546e-14,-394.7
-7.892,5.034698587428228e-28,7.273510052612809e-15,2.1226537877321473e-14,-394.6
-7.89,5.196148410792281e-28,5.199468889852377e-15,2.219415157969967e-14,-394.5
-7.888,5.362732612354419e-28,3.0048131043369895e-15,2.2961802181959642e-14,-394.4
-7.886,5.534613087953808e-28,7.08535136887654e-16,2.3515086365037582e-14,-394.3
-7.884,5.711956793860244e-28,-1.6687050699778194e-15,2.384137376023988e-14,-394.20000000000005
-7.882,5.894935903537438e-28,-4.104742179751956e-15,2.392999544487021e-14,-394.09999999999997
-7.88,6.083727969217945e-28,-6.576088469527264e-15,2.3772417995709757e-14,-394.0
-7.878,6.278516088436368e-28,-9.058136494281658e-15,2.3362400820433666e-14,-393.9
-7.876,6.479489075670959e-28,-1.15253799193684e-14,2.2696134588984872e-14,-393.8
-7.874,6.6868416392494925e-28,-1.3951650795372426e-14,2.1772358714869027e-14,-393.7
-7.872,6.900774563678335e-28,-1.6310371322379323e-14,2.0592455989850743e-14,-393.6
-7.87,7.121494897561563e-28,-1.8574817936977956e-14,1.9160522653734637e-14,-393.5
-7.868,7.349216147276768e-28,-2.0718395357246005e-14,1.7483412382842313e-14,-393.40000000000003
-7.866,7.584158476585055e-28,-2.2714918041485444e-14,1.5570752904953075e-14,-393.29999999999995
-7.864,7.826548912353305e-28,-2.4538896357705474e-14,1.3434934193404876e-14,-393.2
-7.862,8.076621556576041e-28,-2.6165824625468925e-14,1.1091067456598038e-14,-393.1
-7.86,8.334617804885925e-28,-2.75724680815162e-14,8.556914419483394e-15,-393.0
-7.858,8.600786571750917e-28,-2.873714573788022e-14,5.852786687973886e-15,-392.9
-7.856,8.875384522560315e-28,-2.964000604745971e-14,3.0014152932547453e-15,-392.8
-7.854,9.158676312808954e-28,-3.026329226886577e-14,2.779082771322253e-17,-392.7
-7.852,9.450934834593523e-28,-3.059159443097147e-14,-3.0410250953103865e-15,-392.6
-7.85,9.752441470643543e-28,-3.0612084838905445e-14,-6.176116002797357e-15,-392.5
-7.848,1.0063486356113842e-27,-3.031473413782474e-14,-9.34695296684366e-15,-392.4
-7.846,1.0384368648375689e-27,-2.9692505058993664e-14,-1.2521661557445342e-14,-392.3
-7.844,1.0715396805045442e-27,-2.8741521114379e-14,-1.566731133718387e-14,-392.2
-7.842,1.1056888870502893e-27,-2.7461207680788915e-14,-1.8750225592319397e-14,-392.09999999999997
-7.84,1.1409172771153444e-27,-2.5854403121668328e-14,-2.1736308710027362e-14,-392.0
-7.838,1.1772586619701412e-27,-2.3927437832979156e-14,-2.4591388344683977e-14,-391.9
-7.836,1.214747902870353e-27,-2.1690179367572512e-14,-2.7281569270716167e-14,-391.8
-7.834,1.2534209433685653e-27,-1.9156042088209224e-14,-2.9773595598840966e-14,-391.7
-7.832,1.2933148426109018e-27,-1.634196012084365e-14,-3.2035217839428806e-14,-391.59999999999997
-7.83,1.3344678096487655e-27,-1.326832272416632e-14,-3.4035561134439036e-14,-391.5
-7.828,1.3769192387957738e-27,-9.958871556070418e-15,-3.574549085025222e-14,-391.40000000000003
-7.826,1.4207097460619202e-27,-6.440559699344616e-15,-3.7137971630409464e-14,-391.29999999999995
-7.824,1.465881206697116e-27,-2.74337270408189e-15,-3.8188415951746603e-14,-391.2
-7.822,1.5124767938779372e-27,1.0998876907274416e-15,-3.887501821151629e-14,-391.1
-7.82,1.560541018571578e-27,5.0538560828595e-15,-3.9179070398177163e-14,-391.0
-7.818,1.6101197706130002e-27,9.08089069357681e-15,-3.9085255465767526e-14,-390.9
-7.816,1.6612603610313016e-27,1.3141393518831577e-14,-3.8581914641636344e-14,-390.8
-7.814,1.7140115656635744e-27,1.7194161044885083e-14,-3.7661285050116525e-14,-390.7
-7.812,1.7684236700944024e-27,2.119676283602052e-14,-3.631970423018202e-14,-390.6
-7.81,1.8245485159613574e-27,2.510594492559466e-14,-3.455777836253895e-14,-390.5
-7.808,1.8824395486672277e-27,2.887805458519752e-14,-3.238051129987883e-14,-390.4
-7.806,1.9421518665419274e-27,3.2469482714983934e-14,-2.9797391811420124e-14,-390.3
-7.804,2.003742271496868e-27,3.5837119795098305e-14,-2.682243680743122e-14,-390.2
-7.802,2.0672693212173985e-27,3.893882106793145e-14,-2.3474188698590126e-14,-390.09999999999997
-7.8,2.1327933829390407e-27,4.173387638750407e-14,-1.9775665465707374e-14,-390.0
-7.798,2.200376688855647e-27,4.418347997906914e-14,-1.5754262464325118e-14,-389.9
-7.796,2.2700833932079493e-27,4.6251195202490306e-14,-1.1441605462044519e-14,-389.8
-7.794,2.3419796311033485e-27,4.790340931002093e-14,-6.87335489989778e-15,-389.7
-7.792,2.416133579118814e-27,4.91097731351837e-14,-2.0889618784466745e-15,-389.59999999999997
-7.79,2.4926155177405587e-27,4.984362064686943e-14,2.8686231107502074e-15,-389.5
-7.788,2.5714978956953444e-27,5.0082363352967277e-14,7.953287161715266e-15,-389.40000000000003
-7.786,2.652855396230471e-27,4.980785464211235e-14,1.3116135565808946e-14,-389.29999999999995
-7.784,2.7367650054005806e-27,4.900671931101869e-14,1.8305913464550424e-14,-389.2
-7.782,2.8233060824219186e-27,4.7670643738417597e-14,2.3469465438880065e-14,-389.1
-7.78,2.9125604321556e-27,4.579662243441518e-14,2.855222943581149e-14,-389.0
-7.778,3.004612379783805e-27,4.338715701490848e-14,3.349876096137711e-14,-388.9
-7.776,3.0995488477446085e-27,4.045040402296379e-14,3.8253283024122303e-14,-388.8
-7.774,3.1974594349934585e-27,3.700026844046824e-14,4.2760256902019995e-14,-388.7
-7.772,3.298436498660268e-27,3.305644020106566e-14,4.6964968432797206e-14,-388.6
-7.77,3.402575238174365e-27,2.8644371525837735e-14,5.081412419853501e-14,-388.5
-7.768,3.509973781930966e-27,2.379519345268954e-14,5.425645169452244e-14,-388.4
-7.766,3.6207332765754e-27,1.8545570513984607e-14,5.724329734463437e-14,-388.3
-7.764,3.734957978983012e-27,1.2937493130072954e-14,5.972921605456016e-14,-388.2
-7.762,3.8527553510157355e-27,7.018007923212428e-15,6.16725458839301e-14,-388.09999999999997
-7.76,3.9742361571378515e-27,8.388868110400208e-16,6.303596137171317e-14,-388.0
-7.758,4.099514564977259e-27,-5.543763594790782e-15,6.378699906863726e-14,-387.9
-7.756,4.228708248919006e-27,-1.206995008778509e-14,6.389854891777577e-14,-387.8
-7.754,4.3619384968229235e-27,-1.8676295597146293e-14,6.334930528104423e-14,-387.7
-7.752,4.499330319957291e-27,-2.5296593022385457e-14,6.212417163566119e-14,-387.59999999999997
-7.75,4.641012566246173e-27,-3.186240600034863e-14,6.021461326052938e-14,-387.5
-7.748,4.7871180369276485e-27,-3.830371181165409e-14,5.761895259701793e-14,-387.40000000000003
-7.746,4.937783606725777e-27,-4.4549581042913115e-14,5.434260240020433e-14,-387.3
-7.744,5.093150347640592e-27,-5.0528888068182395e-14,5.039823229274701e-14,-387.2
-7.742,5.253363656464148e-27,-5.617104590481427e-14,4.580586489111843e-14,-387.1
